epoch,is_best,train_loss,valid_loss,ssim,ms_ssim,mae,gradient_mae,psnr,ncc,learning_rate,epoch_time_s,train_time_s,valid_time_s
1,1,0.1188247657724117,0.06636047078635476,0.5444735353647607,0.7327892900761007,0.06636047078635478,0.22302335419132704,17.51982320142061,4890210.126054807,5.9999999999999995e-05,445.73,289.33,156.40
2,1,0.057988397513403,0.05432216164726469,0.608592923304693,0.7736959180010305,0.0543221616472647,0.1939798962570811,18.350520358953307,8018856.049419978,0.00011999999999999999,399.41,251.29,148.12
3,1,0.0496979387622401,0.04841475819062062,0.6729988287564445,0.7946058210591379,0.04841475819062064,0.1791357969964184,18.749872332033902,13066198.959875794,0.00017999999999999998,396.23,247.50,148.73
4,0,0.04596939067036833,0.07210102196686846,0.6192706078050985,0.7567222427438807,0.07210102196686846,0.20583215292885107,11.066749038519683,6934148.614558876,0.00023999999999999998,392.93,243.47,149.46
