epoch,is_best,train_loss,valid_loss,ssim,ms_ssim,mae,gradient_mae,psnr,ncc,learning_rate,epoch_time_s,train_time_s,valid_time_s
1,1,0.7572301356970859,0.9244506607453031,0.06448333473777138,0.12399469985478166,0.7674622229763851,0.9403609719469351,-1.0107172459022564,48863.198050026695,0.00016,309.31,169.93,139.39
2,1,0.9888854297650914,0.8579367273599628,0.05065725851974986,0.17753867652033262,0.7592604457252268,1.2165657312829714,-1.1829651240298777,39757.90966665253,0.00032,308.73,169.09,139.64
3,0,1.5624044820564944,3.2995187776964072,0.10793398641463783,0.04461465803636373,5.692003131776616,4.235318157695918,-20.493763180746548,897012.1608480882,0.00048,307.61,168.73,138.88
4,0,6.792835834399373,5.3569694371615055,0.20307308916398437,0.11695301080131588,9.912317239719888,12.591148235371723,-29.56496897296629,1324417.9539016294,0.00064,307.85,168.35,139.50
5,0,9.745125271025158,15.707799101221388,0.03661582953688027,0.009048475382809082,30.43330200628382,17.430822875188746,-35.56050640143058,-51493.80634631659,0.0008,308.60,168.82,139.78
