epoch,is_best,train_loss,valid_loss,ssim,ms_ssim,mae,gradient_mae,psnr,ncc,learning_rate,epoch_time_s,train_time_s,valid_time_s
1,1,0.20643659780422846,0.1672276890103296,0.3192435853579194,0.654084499547447,0.08792961118427883,0.2621897147599482,15.881675381015464,1373958.031107781,0.00016,372.38,226.84,145.54
2,1,0.08578812645203403,0.06288821841162685,0.6312962310469669,0.7660681026209379,0.058716083624836615,0.19177408598291412,17.901761594601876,8511502.072199322,0.00032,372.48,227.21,145.27
3,1,0.0525980914784532,0.04992765780079409,0.683832270907607,0.7980376295205476,0.04922594538111474,0.1753038335231623,18.773361940890695,13048879.313030154,0.00048,371.86,226.25,145.61
4,1,0.04694319440900874,0.04635586939833085,0.699490986764431,0.8081800814196107,0.04601839701487606,0.16904663900138386,19.078394756224995,25291414.00680202,0.00064,372.99,227.75,145.24
5,1,0.04455693538497094,0.045271575420527975,0.7073567291172806,0.8152695654886932,0.04486803673342734,0.16521856319249253,19.171327980244218,32070665.160019178,0.0008,372.93,227.79,145.14
6,1,0.04797875350024425,0.0452564410912548,0.7082281465403699,0.8129836990349535,0.04427339657826196,0.1643452243924429,19.15121515016049,28670181.073140413,0.0008,371.37,226.11,145.26
7,1,0.042825939156571215,0.04377543125953975,0.714259733432445,0.8196607651413926,0.04344005282554361,0.16171983094067102,19.465432603578062,23035057.9533588,0.0007999919540991261,376.91,227.87,149.04
