epoch,is_best,train_loss,valid_loss,ssim,ms_ssim,mae,gradient_mae,psnr,ncc,learning_rate,epoch_time_s,train_time_s,valid_time_s
1,1,0.6272889801839582,0.5935663155455518,0.11323399417516258,0.29283490588951516,0.46835853197220445,0.7868252399103077,2.6002492408677575,396165.11116141506,0.00016,308.31,169.55,138.76
2,0,0.7049232188536196,0.6973641743694526,0.02036189365848575,0.12053695629274355,0.5731515451761835,1.3603610366150953,2.926387867633847,201775.59197254924,0.00032,308.21,169.05,139.16
3,0,2.579297925420359,27.711170311711268,0.17091689668685775,0.15007528360789094,39.22677124986326,34.692426060708826,-41.7600604923451,38324207.30748672,0.00048,307.92,168.91,139.01
4,0,3.7190463085563814,2.8711228713321226,0.01624706067405821,0.017192717004006583,3.6680546099149085,3.0649560730238465,-16.139257823211558,178391.36496956105,0.00048,748.74,538.58,210.15
