epoch,is_best,train_loss,valid_loss,ssim,ms_ssim,mae,gradient_mae,psnr,ncc,learning_rate,epoch_time_s,train_time_s,valid_time_s
1,1,0.053345925423118896,0.058666483760060055,0.7430157906671269,0.8527647257091151,0.03652428488671516,0.1448401481381073,20.17218066951119,189629218.81438357,0.0001,513.75,268.54,245.21
2,1,0.053012140227072686,0.05860994713779857,0.7432096774739344,0.8529269051244678,0.036494159046710495,0.14469677030188355,20.18272353907906,204883044.59470618,0.0001,458.41,234.27,224.14
3,1,0.052930723825053816,0.05847391968925936,0.7434234787588534,0.8532096746223177,0.036394817079754845,0.14462431716386248,20.187213246565126,212108191.53026664,0.0001,459.71,233.70,226.01
4,0,0.05284658657850025,0.05858278249340932,0.743223255455206,0.8528573503912743,0.03644281452830623,0.14460913261665623,20.16052237647359,221387942.11238557,0.0001,455.78,229.55,226.23
5,0,0.05282434083169796,0.05865683358000672,0.7434242467325475,0.8527666314260587,0.03651269865574708,0.14443406286902857,20.136222400910995,214803170.34047848,0.0001,453.90,229.66,224.24
6,0,0.05276134671362796,0.0586883775985855,0.7433020894366186,0.8530761105474834,0.0366294984743239,0.14481555117105227,20.13229998835811,234432982.48673695,0.0001,452.47,227.19,225.28
